message_id,action,message_type,reason,confidence,evidence_message_ids
msg_065,digest,promotion,Promotional offer saved in digest for review at a convenient time.,0.9,"[message_0185, message_0261]"
msg_038,mute,spam,Unwanted spam noise detected: Highly forwarded message with potential viral spam noise.,0.88,"[message_0131, message_0132]"
msg_086,digest,unknown,Unfamiliar sender query without prior conversation history.,0.85,[message_0222]
msg_014,mute,spam,Unwanted spam noise detected: Sender sent promotional offer despite user opt-out preference.,0.88,"[message_0018, message_0258]"
msg_094,digest,promotion,Promotional offer saved in digest for review at a convenient time.,0.9,"[message_0204, message_0357]"
msg_029,digest,promotion,Promotional offer saved in digest for review at a convenient time.,0.9,"[message_0113, message_0332]"
msg_105,digest,forward,Forwarded message routed to digest or muted based on user interaction history.,0.85,"[message_0233, message_0373]"
msg_002,notify,personal,High-priority direct personal message.,0.97,"[message_0003, message_0041]"
msg_010,digest,business_update,Legitimate business transaction or delivery status update from a verified account.,0.85,"[message_0011, message_0242]"
msg_078,mute,spam,Unwanted spam noise detected: Highly forwarded message with potential viral spam noise. Group is muted by user and message is non-urgent.,0.98,"[message_0211, message_0212]"
msg_013,digest,promotion,Promotional offer saved in digest for review at a convenient time.,0.9,"[message_0081, message_0082]"
msg_018,digest,forward,Forwarded message routed to digest or muted based on user interaction history.,0.85,"[message_0026, message_0091]"
msg_044,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0143, message_0144]"
msg_032,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0119, message_0285]"
msg_106,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0234, message_0376]"
msg_006,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0029, message_0271]"
msg_109,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0151, message_0152]"
msg_108,mute,scam,Suspicious scam or phishing risk detected: Sender domain (chase-secure-alert.com) does not match official brand domain (chase.com).,0.9,"[message_0093, message_0094]"
msg_019,mute,scam,Suspicious scam or phishing risk detected: Sender domain (chase-secure-alert.com) does not match official brand domain (chase.com).,0.9,"[message_0093, message_0094]"
msg_088,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0025, message_0050]"
msg_056,notify,urgent,Direct user mention requiring immediate attention or action.,0.93,"[message_0226, message_0359]"
msg_027,digest,promotion,Promotional offer saved in digest for review at a convenient time.,0.9,"[message_0033, message_0272]"
msg_050,notify,event,Scheduled event reminder or operational school/transport update.,0.85,"[message_0155, message_0279]"
msg_083,digest,personal,Non-urgent personal message summarized for later reading.,0.85,[message_0219]
msg_063,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0181, message_0182]"
msg_033,digest,greeting,Social greeting included in non-intrusive digest summary.,0.85,"[message_0372, message_0393]"
msg_061,mute,greeting,Social greeting in muted group saved to avoid interruption.,0.93,"[message_0177, message_0193]"
msg_020,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0065, message_0390]"
msg_017,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0089, message_0090]"
msg_058,mute,spam,Unwanted spam noise detected: Highly forwarded message with potential viral spam noise. Group is muted by user and message is non-urgent.,0.98,"[message_0167, message_0168]"
msg_026,mute,scam,Suspicious scam or phishing risk detected: Sender domain (amazonpay-delivery.in) does not match official brand domain (amazon.in).,0.9,"[message_0032, message_0107]"
msg_047,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0151, message_0152]"
msg_046,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0147, message_0148]"
msg_042,mute,scam,Suspicious scam or phishing risk detected: Contains suspicious phishing keywords or fake security alerts.,0.9,"[message_0058, message_0140]"
msg_079,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0023, message_0369]"
msg_098,notify,urgent,Time-sensitive operational or emergency update requiring immediate notification.,0.93,"[message_0226, message_0359]"
msg_037,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0001, message_0271]"
msg_007,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0069, message_0070]"
msg_085,mute,scam,Suspicious scam or phishing risk detected: Sender domain (hdfcbank-kyc.in) does not match official brand domain (hdfc.bank.in). Unverified sender requesting financial payment.,0.99,[message_0221]
msg_001,notify,urgent,Time-sensitive operational or emergency update requiring immediate notification.,0.97,"[message_0057, message_0139]"
msg_021,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0098, message_0271]"
msg_028,mute,spam,Unwanted spam noise detected: Sender sent promotional offer despite user opt-out preference.,0.88,"[message_0034, message_0112]"
msg_012,mute,spam,Unwanted spam noise detected: Highly forwarded message with potential viral spam noise.,0.88,"[message_0178, message_0194]"
msg_064,digest,promotion,Promotional offer saved in digest for review at a convenient time.,0.9,"[message_0087, message_0201]"
msg_103,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0065, message_0382]"
msg_031,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0055, message_0118]"
msg_057,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0003, message_0059]"
msg_087,notify,urgent,Time-sensitive operational or emergency update requiring immediate notification.,0.93,"[message_0203, message_0204]"
msg_067,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0098, message_0271]"
msg_039,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0037, message_0364]"
msg_082,notify,urgent,Time-sensitive operational or emergency update requiring immediate notification.,0.97,"[message_0218, message_0397]"
msg_066,mute,spam,Unwanted spam noise detected: Sender sent promotional offer despite user opt-out preference.,0.88,"[message_0187, message_0188]"
msg_049,digest,business_update,Legitimate business transaction or delivery status update from a verified account.,0.85,"[message_0154, message_0291]"
msg_015,mute,scam,"Suspicious scam or phishing risk detected: Requests sensitive OTP, password, or login credentials.",0.9,"[message_0023, message_0045]"
msg_051,mute,spam,Unwanted spam noise detected: Sender sent promotional offer despite user opt-out preference.,0.88,"[message_0103, message_0257]"
msg_097,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0167, message_0359]"
msg_089,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0299, message_0301]"
msg_053,digest,forward,Forwarded message routed to digest or muted based on user interaction history.,0.85,"[message_0161, message_0411]"
msg_059,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0023, message_0045]"
msg_024,mute,spam,Unwanted spam noise detected: Sender sent promotional offer despite user opt-out preference.,0.88,"[message_0103, message_0257]"
msg_072,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0023, message_0045]"
msg_036,mute,scam,Suspicious scam or phishing risk detected: Sender domain (razorpayx-payouts.com) does not match official brand domain (razorpayx.com).,0.9,"[message_0127, message_0283]"
msg_076,mute,scam,Suspicious scam or phishing risk detected: Sender domain (talabat-refund.com) does not match official brand domain (talabat.com).,0.9,"[message_0159, message_0207]"
msg_055,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0165, message_0166]"
msg_102,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0230, message_0371]"
msg_080,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0216, message_0271]"
msg_093,digest,business_update,Legitimate business transaction or delivery status update from a verified account.,0.9,"[message_0347, message_0348]"
msg_034,mute,spam,Unwanted spam noise detected: Highly forwarded message with potential viral spam noise.,0.88,"[message_0167, message_0168]"
msg_035,digest,unknown,Unfamiliar sender query without prior conversation history.,0.85,"[message_0125, message_0281]"
msg_101,digest,personal,Non-urgent personal message summarized for later reading.,0.9,"[message_0229, message_0370]"
msg_041,mute,scam,Suspicious scam or phishing risk detected: Sender domain (weurl.co) does not match official brand domain (polaris.school).,0.9,"[message_0137, message_0138]"
msg_011,mute,greeting,Social greeting in muted group saved to avoid interruption.,0.93,"[message_0167, message_0168]"
msg_110,mute,scam,"Suspicious scam or phishing risk detected: Requests sensitive OTP, password, or login credentials.",0.9,"[message_0238, message_0381]"
msg_095,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0087, message_0201]"
msg_074,mute,spam,Unwanted spam noise detected: Forwarded promotional content. Group is muted by user and message is non-urgent.,0.88,"[message_0203, message_0389]"
msg_073,digest,forward,Forwarded message routed to digest or muted based on user interaction history.,0.85,"[message_0087, message_0201]"
msg_054,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0203, message_0389]"
msg_068,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0191, message_0192]"
msg_100,notify,urgent,Time-sensitive operational or emergency update requiring immediate notification.,0.93,"[message_0228, message_0362]"
msg_062,digest,forward,Forwarded message routed to digest or muted based on user interaction history.,0.9,"[message_0043, message_0271]"
msg_096,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0353, message_0354]"
msg_043,mute,spam,Unwanted spam noise detected: Highly forwarded message with potential viral spam noise.,0.88,"[message_0001, message_0271]"
msg_077,digest,event,Scheduled event reminder or operational school/transport update.,0.9,"[message_0051, message_0403]"
msg_081,digest,personal,Non-urgent personal message summarized for later reading.,0.85,[message_0217]
msg_025,notify,business_update,Legitimate business transaction or delivery status update from a verified account.,0.89,"[message_0004, message_0239]"
msg_084,mute,spam,Unwanted spam noise detected: Sender sent promotional offer despite user opt-out preference.,0.88,[message_0220]
msg_022,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0151, message_0152]"
